   177/299     8.06G   0.02084  0.008282   0.01937    0.0485        17       416    0.6836    0.6593    0.7561    0.6567   0.02195  0.004271   0.03253
   178/299     8.06G   0.02033  0.008259   0.01803   0.04663        34       416    0.7138    0.6467     0.759    0.6604   0.02195  0.004277   0.03264
   179/299     8.06G   0.02028   0.00807   0.01789   0.04624        26       416     0.656    0.6713    0.7536    0.6549   0.02194  0.004282    0.0328
   180/299     8.06G   0.02033  0.008209   0.01824   0.04678        16       416    0.6453    0.6789     0.755    0.6571   0.02186  0.004306   0.03271
   181/299     8.06G   0.02013  0.008207   0.01788   0.04621        35       416    0.6579     0.668    0.7534    0.6566   0.02182  0.004313   0.03278
   182/299     8.06G   0.02032  0.008179    0.0177   0.04621        33       416    0.5816    0.7208    0.7502    0.6542   0.02181   0.00431   0.03283
   183/299     8.06G   0.02005  0.008084   0.01774   0.04587        25       416    0.5978     0.714    0.7538    0.6573    0.0218  0.004303   0.03296
   184/299     8.06G   0.01995   0.00804    0.0178   0.04579        21       416    0.6038    0.7091    0.7514    0.6552    0.0218  0.004303   0.03303
   185/299     8.06G   0.01997  0.007956   0.01755   0.04548        29       416    0.6089     0.706     0.751    0.6539   0.02179  0.004303   0.03296
   186/299     8.06G   0.01995  0.008233   0.01818   0.04636        27       416    0.6076    0.7045    0.7504     0.654   0.02183  0.004308   0.03277
   187/299     8.06G   0.01986  0.008079   0.01781   0.04574        34       416     0.603    0.7107    0.7495    0.6525    0.0218  0.004318   0.03265
   188/299     8.06G   0.02008  0.008068   0.01829   0.04644        24       416    0.6391    0.6791    0.7478    0.6518   0.02175   0.00433    0.0326
   189/299     8.06G   0.01977  0.007807   0.01732   0.04489        24       416    0.6278    0.6878    0.7487    0.6527   0.02174  0.004332    0.0325
   190/299     8.06G   0.01985   0.00802   0.01746   0.04534        26       416    0.6492    0.6753    0.7529    0.6569    0.0217  0.004335   0.03243
   191/299     8.06G   0.01961  0.007943   0.01727   0.04482        28       416    0.6674    0.6639    0.7532    0.6578   0.02162  0.004334    0.0324
